,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,tipo_de_registro,indicador,tipo_atualizacao,cnpj,identificador_matriz_filial,razao_social,nome_fantasia,situacao_cadastral,data_situacao_cadastral,motivo_situacao_cadastral,nm_cidade_exterior,cod_pais,nm_pais,codigo_natureza_juridica,data_inicio_atividade,cnae_fiscal,descricao_tipo_logradouro,logradouro,numero,complemento,bairro,cep,uf,codigo_municipio,municipio,ddd_telefone_1,ddd_telefone_2,ddd_fax,correio_eletronico,qualificacao_responsavel,capital_social_empresa,porte_empresa,opcao_pelo_simples,data_opcao_pelo_simples,data_exclusao_simples,opcao_pelo_mei,situacao_especial,data_situacao_especial,filler,"fim_registro
",latitude,longitude,endereco,mes_inicio_atividade,ano_inicio_atividade,mes_situacao_cadastral,ano_situacao_cadastral,data,mes_ano_abertura
265,265,265,53739,53739,1,F,,6774806000113,1,CALDAS SERRA & CIA LTDA,FERROTEX,8,2008-12-31,71,,,,2062,1981-08-05,4649401,AVENIDA,CASTELO BRANCO,105,,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,49,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 105  SAO FRANCISCO cep: 65099110 MA ,brasil",8,1981,12,2008,2008-12-01,1981-08-01
266,266,266,53766,53766,1,F,,6775621000123,1,ELOS ENGENHARIA E CONSULTORIA COMERCIAL E TECNICA LTDA,,8,2008-12-31,71,,,,2062,1981-07-27,8888888,AVENIDA,CASTELO BRANCO,360,SALA 101,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,49,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 360 SALA 101 SAO FRANCISCO cep: 65099110 MA ,brasil",7,1981,12,2008,2008-12-01,1981-07-01
267,267,267,53768,53768,1,F,,6775662000110,1,IMPEROL IMPORTADORA DE EQUIPAMENTOS RODOVIARIOS LTDA,,4,2018-11-06,63,,,,2062,1981-07-27,4530706,AVENIDA,CASTELO BRANCO,605,SALA 304,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,49,0.0,1,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 605 SALA 304 SAO FRANCISCO cep: 65099110 MA ,brasil",7,1981,11,2018,2018-11-01,1981-07-01
268,268,268,53890,53890,1,F,,6780159000152,1,JONAS GUSMAO PORTELA,LUTZ COMERCIO E REPRESENTACOES,8,2008-12-31,71,,,,2135,1981-07-08,8888888,AVENIDA,CASTELO BRANCO,02,,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,50,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 02  SAO FRANCISCO cep: 65099110 MA ,brasil",7,1981,12,2008,2008-12-01,1981-07-01
269,269,269,54022,54022,1,F,,6789770000141,1,FERPECAS FERRAGENS E PECAS LTDA,FERPECAS,8,2008-12-31,71,,,,2062,1981-06-19,8888888,AVENIDA,CASTELO BRANCO,829-B,,SAO FRANCISCO,65076090.0,MA,921,SAO LUIS,,,,,49,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 829-B  SAO FRANCISCO cep: 65076090 MA ,brasil",6,1981,12,2008,2008-12-01,1981-06-01
270,270,270,54149,54149,1,F,,6792527000182,1,AGRANEL COMERCIO E REPRESENTACOES LTDA,CALCADOS AGRANEL,8,2008-12-31,71,,,,2062,1981-06-03,4781400,AVENIDA,CASTELO BRANCO,655,LOJA 2,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,49,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 655 LOJA 2 SAO FRANCISCO cep: 65099110 MA ,brasil",6,1981,12,2008,2008-12-01,1981-06-01
271,271,271,55614,55614,1,F,,6902464000170,1,ZILMAR VIEIRA DA SILVA,,8,1978-10-08,5,,,,2135,1976-02-24,8888888,AVENIDA,CASTELO BRANCO,SN,,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,50,0.0,5,0,,,N,,,,"F
",-2.5153279,-44.3043946,"CASTELO BRANCO SN  SAO FRANCISCO cep: 65099110 MA ,brasil",2,1976,10,1978,1978-10-01,1976-02-01
272,272,272,55927,55927,1,F,,6926948000159,1,"I P O M INSTITUTO DE APOIO PORTUARIO, OFF-SHORE E MARITIMO LTDA",IPOM,2,2004-08-17,0,,,,2062,2004-08-17,5239799,AVENIDA,CASTELO BRANCO,707,QUADRA 35 - SALA  316,SAO FRANCISCO,65076091.0,MA,921,SAO LUIS,,,,,49,0.0,1,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 707 QUADRA 35 - SALA  316 SAO FRANCISCO cep: 65076091 MA ,brasil",8,2004,8,2004,2004-08-01,2004-08-01
273,273,273,55955,55955,1,F,,6930168000182,1,METALMAR METALURGICA MARANHENSE LTDA,,8,2008-12-31,71,,,,2062,1982-01-06,8888888,AVENIDA,CASTELO BRANCO,1056,,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,49,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 1056  SAO FRANCISCO cep: 65099110 MA ,brasil",1,1982,12,2008,2008-12-01,1982-01-01
274,274,274,55971,55971,1,F,,6930457000181,1,PLASTIC CENTER CLINICA DE CIR PLAST E EMAG ESTETICO LTD,PLASTIC CENTER,8,2008-12-31,71,,,,2062,1982-01-06,8888888,AVENIDA,CASTELO BRANCO,605,SALAS 213 E 215,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,49,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 605 SALAS 213 E 215 SAO FRANCISCO cep: 65099110 MA ,brasil",1,1982,12,2008,2008-12-01,1982-01-01
275,275,275,56031,56031,1,F,,6931489000282,2,SANTEC EMPREENDIMENTOS LTDA,,8,1992-07-13,1,,,,2062,1990-05-11,4120400,AVENIDA,CASTELO BRANCO,707,SALA 308,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,49,0.0,5,0,,,,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 707 SALA 308 SAO FRANCISCO cep: 65099110 MA ,brasil",5,1990,7,1992,1992-07-01,1990-05-01
276,276,276,56150,56150,1,F,,6934095000105,1,L E DE SOUSA BARROS,FARMACIA SAO FRANCISCO,8,1992-01-01,1,,,,2135,1982-02-09,8888888,AVENIDA,CASTELO BRANCO,697,,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,50,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 697  SAO FRANCISCO cep: 65099110 MA ,brasil",2,1982,1,1992,1992-01-01,1982-02-01
277,277,277,56202,56202,1,F,,6935357000148,1,ACRIL ARQUITETURA CONSTRUCOES REPR IMPERMEABILIZ LTDA,ACRIL,8,2008-12-31,71,,,,2062,1982-02-17,8888888,AVENIDA,CASTELO BRANCO,605,SALA 325,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,49,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 605 SALA 325 SAO FRANCISCO cep: 65099110 MA ,brasil",2,1982,12,2008,2008-12-01,1982-02-01
278,278,278,56211,56211,1,F,,6935472000112,1,TEIXEIRA SCHLAEPFER LTDA,CARAMELO,8,2008-12-31,71,,,,2062,1982-02-18,4781400,AVENIDA,CASTELO BRANCO,92,,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,49,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 92  SAO FRANCISCO cep: 65099110 MA ,brasil",2,1982,12,2008,2008-12-01,1982-02-01
279,279,279,56442,56442,1,F,,6956817000114,1,LEKEL MODAS E CONFECCOES LIMITADA,PRODUCOES,2,2005-11-03,0,,,,2062,1982-03-16,8888888,AVENIDA,CASTELO BRANCO,2,CASA,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,49,0.0,1,0,,,N,,,,"F
",-,-,"CASTELO BRANCO 2 CASA SAO FRANCISCO cep: 65099110 MA ,brasil",3,1982,11,2005,2005-11-01,1982-03-01
280,280,280,56748,56748,1,F,,6991996000120,1,J L D ALVES,CONVEMAC,8,2007-07-17,1,,,,2135,1976-06-10,4744005,AVENIDA,CASTELO BRANCO,281,,SAO FRANCISCO,65076091.0,MA,921,SAO LUIS,98  32277796,,,,50,0.0,1,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 281  SAO FRANCISCO cep: 65076091 MA ,brasil",6,1976,7,2007,2007-07-01,1976-06-01
281,281,281,56848,56848,1,F,,6996284000102,1,RAIMUNDA CUNHA BORGES,CASA SAO JORGE,8,2008-12-31,71,,,,2135,1976-07-20,4711301,AVENIDA,CASTELO BRANCO,77,,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,50,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 77  SAO FRANCISCO cep: 65099110 MA ,brasil",7,1976,12,2008,2008-12-01,1976-07-01
282,282,282,56890,56890,1,F,,6997209000158,1,C B MESQUITA,BRANDAO INFANTIL,8,2008-12-31,71,,,,2135,1976-08-11,4781400,AVENIDA,CASTELO BRANCO,S N,JUNIOR CENTER S 2,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,50,0.0,5,0,,,N,,,,"F
",-2.5153279,-44.3043946,"CASTELO BRANCO S N JUNIOR CENTER S 2 SAO FRANCISCO cep: 65099110 MA ,brasil",8,1976,12,2008,2008-12-01,1976-08-01
283,283,283,56929,56929,1,F,,6999288000136,1,BRACEL BRASIL CONSTRUCOES INDUSTRIA E COMERCIO LTDA,,8,2008-12-31,71,,,,2062,1976-08-25,4120400,AVENIDA,CASTELO BRANCO,605,312,SAO FRANCISCO,65076900.0,MA,921,SAO LUIS,,,,,49,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 605 312 SAO FRANCISCO cep: 65076900 MA ,brasil",8,1976,12,2008,2008-12-01,1976-08-01
284,284,284,57041,57041,1,F,,7002694000145,1,FREIRE E FREIRE LTDA,ELETEL,8,2008-12-31,71,,,,2062,1982-04-05,4754701,AVENIDA,CASTELO BRANCO,97,,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,49,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 97  SAO FRANCISCO cep: 65099110 MA ,brasil",4,1982,12,2008,2008-12-01,1982-04-01
285,285,285,57323,57323,1,F,,7008329000148,1,BEE COMERCIO INDUSTRIA E REPRESENTACOES LTDA,,8,1983-05-06,1,,,,2062,1982-05-14,8888888,AVENIDA,CASTELO BRANCO,92,LOJA 01,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,49,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 92 LOJA 01 SAO FRANCISCO cep: 65099110 MA ,brasil",5,1982,5,1983,1983-05-01,1982-05-01
286,286,286,57342,57342,1,F,,7008907000146,1,COMERCIAL INSTALADORA E ASSISTENCIA TEC ELETRONICA LTDA,ELETRONICA YPANEMA,4,2018-10-02,63,,,,2062,1982-05-07,8888888,AVENIDA,CASTELO BRANCO,655,,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,49,0.0,1,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 655  SAO FRANCISCO cep: 65099110 MA ,brasil",5,1982,10,2018,2018-10-01,1982-05-01
287,287,287,57523,57523,1,F,,7040831000136,1,SAMURACA CONFECCOES LTDA,PONTO CORPO,4,2018-11-06,63,,,,2062,2004-10-20,4781400,AVENIDA,CASTELO BRANCO,148,: AV MAREC CAST BRANCO; EDIF: COML CASTELO BRANCO; LOJA: 11;,SAO FRANCISCO,65076091.0,MA,921,SAO LUIS,98  88211483,,,,49,0.0,1,6,2007-07-01,2012-12-31,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 148 : AV MAREC CAST BRANCO; EDIF: COML CASTELO BRANCO; LOJA: 11; SAO FRANCISCO cep: 65076091 MA ,brasil",10,2004,11,2018,2018-11-01,2004-10-01
288,288,288,57586,57586,1,F,,7047442000132,1,MOME PRODUTOS ALIMENTICIOS LTDA,BOBBILL,8,2008-12-31,71,,,,2062,1982-10-06,4711301,AVENIDA,CASTELO BRANCO,509,,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,49,0.0,5,0,,,N,,,,"F
",-,-,"CASTELO BRANCO 509  SAO FRANCISCO cep: 65099110 MA ,brasil",10,1982,12,2008,2008-12-01,1982-10-01
289,289,289,57624,57624,1,F,,7048689000173,1,ELETRONICA VIDEOSOM LTDA,,8,2000-05-07,1,,,,2062,1982-10-13,9521500,AVENIDA,CASTELO BRANCO,113,,SAO FRANCISCO,65076090.0,MA,921,SAO LUIS,,,,,49,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 113  SAO FRANCISCO cep: 65076090 MA ,brasil",10,1982,5,2000,2000-05-01,1982-10-01
290,290,290,57660,57660,1,F,,7049976000289,2,J GONCALVES DOS SANTOS FILHO & CIA LTDA,CENTRO ELETRICO,2,2002-12-28,0,,,,2062,1982-11-16,4673700,AVENIDA,CASTELO BRANCO,S/N,,SAO FRANCISCO,65076090.0,MA,921,SAO LUIS,,,,,49,0.0,5,0,,,,,,,"F
",-2.5153279,-44.3043946,"CASTELO BRANCO S/N  SAO FRANCISCO cep: 65076090 MA ,brasil",11,1982,12,2002,2002-12-01,1982-11-01
291,291,291,57721,57721,1,F,,7052020000155,1,MODA MULHER LTDA,,8,1987-05-17,1,,,,2062,1982-11-03,4781400,AVENIDA,CASTELO BRANCO,92,JUNIOR CENTER,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,49,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 92 JUNIOR CENTER SAO FRANCISCO cep: 65099110 MA ,brasil",11,1982,5,1987,1987-05-01,1982-11-01
292,292,292,57742,57742,1,F,,7052772000116,1,TEMPO COMERCIO LTDA,DISTRIBUIDORA NOVO TEMPO,4,2018-11-06,63,,,,2062,1982-11-03,4761003,AVENIDA,CASTELO BRANCO,559,SALA:  204  ;,SAO FRANCISCO,65076090.0,MA,921,SAO LUIS,98  32278963,,,,49,100000.0,1,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 559 SALA:  204  ; SAO FRANCISCO cep: 65076090 MA ,brasil",11,1982,11,2018,2018-11-01,1982-11-01
293,293,293,57832,57832,1,F,,7055700000122,1,MARTINS SOUSA E CIA LTDA,DEPOSITO SAO FRANCISCO,8,1997-07-16,9,,,,2062,1982-11-11,4649401,AVENIDA,CASTELO BRANCO,302,,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,49,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 302  SAO FRANCISCO cep: 65099110 MA ,brasil",11,1982,7,1997,1997-07-01,1982-11-01
294,294,294,57886,57886,1,F,,7056948000108,1,MUSIDISC LTDA,,8,2008-12-31,71,,,,2062,1982-10-26,4762800,AVENIDA,CASTELO BRANCO,S/N,,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,49,0.0,5,0,,,N,,,,"F
",-2.5153279,-44.3043946,"CASTELO BRANCO S/N  SAO FRANCISCO cep: 65099110 MA ,brasil",10,1982,12,2008,2008-12-01,1982-10-01
295,295,295,57918,57918,1,F,,7059058000150,1,PRONTEL - PROJETOS TECNICOS E CONSTRUCOES LTDA,CASABLANKA ENGENHARIA,8,2008-12-31,71,,,,2062,1982-09-21,8888888,AVENIDA,CASTELO BRANCO,605,SALA 212,SAO FRANCISCO,65076900.0,MA,921,SAO LUIS,,,,,49,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 605 SALA 212 SAO FRANCISCO cep: 65076900 MA ,brasil",9,1982,12,2008,2008-12-01,1982-09-01
296,296,296,58071,58071,1,F,,7063043000165,1,TRAFO INSTALACOES ELETRICAS LTDA,,8,2015-02-09,73,,,,2062,1982-08-30,8888888,AVENIDA,CASTELO BRANCO,605,SALA 325,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,49,0.0,1,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 605 SALA 325 SAO FRANCISCO cep: 65099110 MA ,brasil",8,1982,2,2015,2015-02-01,1982-08-01
297,297,297,58124,58124,1,F,,7064462000111,1,IMOBILIARIA CASABELLA LTDA,,3,2007-01-12,18,,,,2062,1982-08-17,6810202,AVENIDA,CASTELO BRANCO,148,SALA 404,SAO FRANCISCO,65076090.0,MA,921,SAO LUIS,,,,,49,0.0,1,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 148 SALA 404 SAO FRANCISCO cep: 65076090 MA ,brasil",8,1982,1,2007,2007-01-01,1982-08-01
298,298,298,58255,58255,1,F,,7067622000186,1,L A BARBOSA,JABUTITIUA AGROPECUARIA,2,2006-12-02,0,,,,2135,1982-07-30,8888888,AVENIDA,CASTELO BRANCO,697,,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,50,0.0,1,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 697  SAO FRANCISCO cep: 65099110 MA ,brasil",7,1982,12,2006,2006-12-01,1982-07-01
299,299,299,58303,58303,1,F,,7068679000108,1,IPREC NORTE SA,,8,2008-12-31,71,,,,2054,1982-07-14,8888888,AVENIDA,CASTELO BRANCO,605,SALA 307,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,16,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 605 SALA 307 SAO FRANCISCO cep: 65099110 MA ,brasil",7,1982,12,2008,2008-12-01,1982-07-01
300,300,300,58334,58334,1,F,,7069358000110,1,"CRTO CONSULTORIA, COMERCIO, REABILITACAO E TREINAMENTO OCUPACIONAL LTDA",CRTO,2,2004-11-05,0,,,,2062,2004-11-05,7490199,AVENIDA,CASTELO BRANCO,605,S- 217 ED.CID.SAO LUIS,SAO FRANCISCO,65076090.0,MA,921,SAO LUIS,98  32354353,98  32680030,,terapia06@hotmail.com,49,18000.0,1,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 605 S- 217 ED.CID.SAO LUIS SAO FRANCISCO cep: 65076090 MA ,brasil",11,2004,11,2004,2004-11-01,2004-11-01
301,301,301,58346,58346,1,F,,7069529000100,1,ALEQUIM BOUTIQUE LTDA.,,2,2001-07-08,0,,,,2062,1982-07-08,1069400,AVENIDA,CASTELO BRANCO,374,E,SAO FRANCISCO,65076090.0,MA,921,SAO LUIS,,,,,49,0.0,1,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 374 E SAO FRANCISCO cep: 65076090 MA ,brasil",7,1982,7,2001,2001-07-01,1982-07-01
302,302,302,58437,58437,1,F,,7071491000100,1,CASABLANKA PLANEJAMENTO E VENDA DE IMOVEIS LTDA,CASABLANKA,8,2008-12-31,71,,,,2062,1982-06-16,6810202,AVENIDA,CASTELO BRANCO,605,SUBSOLO SALA 15,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,49,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 605 SUBSOLO SALA 15 SAO FRANCISCO cep: 65099110 MA ,brasil",6,1982,12,2008,2008-12-01,1982-06-01
303,303,303,58443,58443,1,F,,7071764000117,1,J MOREIRA NETO,FARMACIA MONTE CRISTO,8,2008-12-31,71,,,,2135,1982-06-15,8888888,AVENIDA,CASTELO BRANCO,829,A,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,50,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 829 A SAO FRANCISCO cep: 65099110 MA ,brasil",6,1982,12,2008,2008-12-01,1982-06-01
304,304,304,58507,58507,1,F,,7073158000130,1,HELIX CONSERVACAO E SERVICOS GERAIS LTDA,,8,2008-12-31,71,,,,2062,1982-06-07,7723300,AVENIDA,CASTELO BRANCO,605,309,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,49,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 605 309 SAO FRANCISCO cep: 65099110 MA ,brasil",6,1982,12,2008,2008-12-01,1982-06-01
305,305,305,58516,58516,1,F,,7073356000102,1,VALDECY VIEIRA,TOLDOS DO MARANHAO,8,2008-12-31,71,,,,2135,1982-06-07,4754701,AVENIDA,CASTELO BRANCO,261,,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,50,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 261  SAO FRANCISCO cep: 65099110 MA ,brasil",6,1982,12,2008,2008-12-01,1982-06-01
306,306,306,58621,58621,1,F,,7085425000190,1,M A M CEREJO,LIFE SPORT,8,2015-02-09,73,,,,2135,2004-11-17,9313100,AVENIDA,CASTELO BRANCO,47,QUADRA 31,SAO FRANCISCO,65076091.0,MA,921,SAO LUIS,,,,,50,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 47 QUADRA 31 SAO FRANCISCO cep: 65076091 MA ,brasil",11,2004,2,2015,2015-02-01,2004-11-01
307,307,307,58817,58817,1,F,,7119942000132,1,MULTCOPY COPIADORAS DIGITAIS LTDA,MULTCOPY,4,2018-11-06,63,,,,2062,2004-12-03,4751201,AVENIDA,CASTELO BRANCO,97,A,SAO FRANCISCO,65076091.0,MA,921,SAO LUIS,098 32356854,,098 32356854,MULTCOPY@VELOXMAIL.COM.BR,49,0.0,1,6,2007-07-01,2008-12-31,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 97 A SAO FRANCISCO cep: 65076091 MA ,brasil",12,2004,11,2018,2018-11-01,2004-12-01
308,308,308,58966,58966,1,F,,7140035000175,1,D P I DISTRIBUIDORA DE PRODUTOS DE INFORMATICA LTDA,D P I INFORMATICA,4,2018-11-06,63,,,,2062,2003-03-03,4751201,AVENIDA,CASTELO BRANCO,753,SALA 301 B,SAO FRANCISCO,65076090.0,MA,921,SAO LUIS,,,,,49,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 753 SALA 301 B SAO FRANCISCO cep: 65076090 MA ,brasil",3,2003,11,2018,2018-11-01,2003-03-01
309,309,309,59033,59033,1,F,,7142102000190,1,A ARNALDO S DOS REIS,,8,2008-12-31,71,,,,2135,1982-12-28,8888888,AVENIDA,CASTELO BRANCO,91,,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,50,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 91  SAO FRANCISCO cep: 65099110 MA ,brasil",12,1982,12,2008,2008-12-01,1982-12-01
310,310,310,59035,59035,1,F,,7142227000110,1,JOSE DUMONT CAVALCANTE ABREU E CIA LTDA,,4,2018-10-02,63,,,,2062,1982-12-30,4120400,AVENIDA,CASTELO BRANCO,753,,SAO FRANCISCO,65076090.0,MA,921,SAO LUIS,,,,,49,0.0,1,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 753  SAO FRANCISCO cep: 65076090 MA ,brasil",12,1982,10,2018,2018-10-01,1982-12-01
311,311,311,59096,59096,1,F,,7144249000110,1,ROBERTO DE C ARAUJO,DUNAS EMPREENDIMENTOS IMOBILIARIOS,8,2008-12-31,71,,,,2135,1983-01-13,6821802,AVENIDA,CASTELO BRANCO,473,,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,50,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 473  SAO FRANCISCO cep: 65099110 MA ,brasil",1,1983,12,2008,2008-12-01,1983-01-01
312,312,312,59114,59114,1,F,,7144884000105,1,A T S SOUSA,,8,1995-11-20,1,,,,2135,1983-01-14,8888888,AVENIDA,CASTELO BRANCO,306,,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,50,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 306  SAO FRANCISCO cep: 65099110 MA ,brasil",1,1983,11,1995,1995-11-01,1983-01-01
313,313,313,59144,59144,1,F,,7145899000180,1,M L O SIQUEIRA,MERCADINHO UNIAO,8,2015-02-09,73,,,,2135,1983-01-24,4722901,AVENIDA,CASTELO BRANCO,354,D,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,50,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 354 D SAO FRANCISCO cep: 65099110 MA ,brasil",1,1983,2,2015,2015-02-01,1983-01-01
314,314,314,59164,59164,1,F,,7146673000101,1,DILIAUTO COLOCACAO DE DESCARGAS E ACESSORIOS LTDA,ILIAUTO,8,1985-06-10,1,,,,2062,1983-01-25,8888888,AVENIDA,CASTELO BRANCO,913,,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,49,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 913  SAO FRANCISCO cep: 65099110 MA ,brasil",1,1983,6,1985,1985-06-01,1983-01-01
315,315,315,59175,59175,1,F,,7146855000174,1,J ARAKEN,FEIRAO DOS PNEUS E PECAS PARA AUTOS,8,2008-12-31,71,,,,2135,1983-01-26,4530701,AVENIDA,CASTELO BRANCO,915,,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,50,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 915  SAO FRANCISCO cep: 65099110 MA ,brasil",1,1983,12,2008,2008-12-01,1983-01-01
316,316,316,59237,59237,1,F,,7148364000162,1,ISNARD L CASTRO & CIA LTDA,FARMACIA SENHOR DO BOMFIM,8,2008-12-31,71,,,,2062,1983-02-04,8888888,AVENIDA,CASTELO BRANCO,733 B,,SAO FRANCISCO,65076090.0,MA,921,SAO LUIS,,,,,49,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 733 B  SAO FRANCISCO cep: 65076090 MA ,brasil",2,1983,12,2008,2008-12-01,1983-02-01
317,317,317,59256,59256,1,F,,7148695000100,1,GEOTOP COM E REPRESENTACAO DE EQUIP TECNICOS LTDA,,8,2008-12-31,71,,,,2062,1983-02-09,9521500,AVENIDA,CASTELO BRANCO,374,SALA 103,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,49,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 374 SALA 103 SAO FRANCISCO cep: 65099110 MA ,brasil",2,1983,12,2008,2008-12-01,1983-02-01
318,318,318,59375,59375,1,F,,7151285000291,2,BARBOSA E ARANHA LTDA,,2,2002-08-31,0,,,,2062,1984-10-25,4781400,AVENIDA,CASTELO BRANCO,499,B,SAO FRANCISCO,65076090.0,MA,921,SAO LUIS,,,,,49,0.0,1,0,,,,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 499 B SAO FRANCISCO cep: 65076090 MA ,brasil",10,1984,8,2002,2002-08-01,1984-10-01
